Авдіївка	м. Авдіївка	\бульв. Шевченка\вул. 8 Березня\вул. 9-й квартал\вул. Абрикосова\вул. Белінського\вул. Весняна\вул. Виноградна\вул. Воробйова\вул. Гагаріна\вул. Героїв\вул. Грушевського\вул. Джерельна\вул. Добролюбова\вул. Довіри\вул. Донецька\вул. Дружби\вул. Єлагіна\вул. Заводська\вул. Зелена\вул. Каштанова\вул. Княгині Ольги\вул. Коксохіміків\вул. Колосова\вул. Комунальна\вул. Корольова\вул. Котляревського\вул. Коцюбинського\вул. Красна\вул. Леваневського\вул. Лермонтова\вул. Лесі Українки\вул. Ломоносова\вул. Маяковського\вул. Менделєєва\вул. Металургів\вул. Миру\вул. Молодіжна\вул. Нахімова\вул. Незалежності\вул. Некрасова\вул. Нечаєва\вул. Паркова\вул. Первомайська\вул. Перемоги\вул. Поштова\вул. Пушкіна\вул. Рубінова\вул. Садова\вул. Сапронова\вул. Свободи\вул. Сільгосптехніки\вул. Соборна\вул. Спортивна\вул. Степова\вул. Суворова\вул. Тимірязєва\вул. Тургенєва\вул. Фестивальна\вул. Франка\вул. Центральна\вул. Чайковського\вул. Чепижного\вул. Чернишевського\вул. Чехова\вул. Чистякова\вул. Чкалова\вул. Шевченка\вул. Шестакова\кв-л 9-й квартал\кв-л Будівельників\кв-л Ювілейний\пров. 50-и Річчя АКХЗ\пров. 50-ти Річчя АКХЗ\пров. Аптекарський\пров. Благодатний\пров. Больничний\пров. Гурова\пров. Залізничний\пров. Кар'єрний\пров. Клубний\пров. Козачий\пров. Лісний\пров. Міністерства шляхів та сполучення\пров. Робочий\пров. Світлий\пров. Сєдова\пров. Солов'яненко\пров. Стадіонний\пров. Стрілковий\пров. Суворова\пров. Театральний\пров. Тісний\пров. Толстого\пров. Шкільний\пров. Ясинуватський\проїзд Індустріальний\просп. Центральний
Лиманський	с. Дерилове	\вул. Калинова
Лиманський	с. Закітне	\вул. Білого\вул. Вавілова\вул. Дачна\вул. Зарічна\вул. Кринична\вул. Лікарняна\вул. Набережна\вул. Нова\вул. Підлісна\вул. Степна\вул. Центральна\вул. Черемушки\вул. Широка\пров. Зелений\пров. Пролетарський\пров. Тупіковий
Лиманський	с. Іванівка	\вул. Українська
Лиманський	с. Каленики	\вул. Підстепна
Лиманський	с. Коровій Яр	\вул. Ветеранів\вул. Вишнева\вул. Краматорська\вул. Миру\вул. Новоселів\вул. Спортивна
Лиманський	с. Крива Лука	\вул. 1 Травня\вул. Зарічна\вул. Іллічівка\вул. Кар'єрна\вул. Київська\вул. Кринична\вул. Курортна\вул. Лісна\вул. Молодіжна\вул. Нова\вул. Одеська\вул. Перемоги\вул. Солов'їна\вул. Сонячна\вул. Трудова\вул. Українська\вул. Центральна\пров. Поштовий\пров. Східний\пров. Тихий
Лиманський	с. Кримки	\вул. Лісна\вул. Садова
Лиманський	с. Лозове	\вул. Вишнева\вул. Жилмасив\вул. Миру\вул. Молодіжна\вул. Набережна\вул. Нижня Лугова\вул. Нова\вул. Стадіонна\вул. Степова\вул. Шкільна\пров. Гагаріна\пров. Залізничний\пров. Мирний\пров. Новий\пров. Шкільний
Лиманський	с. Новосадове	\вул. Назва відсутня
Лиманський	с. Озерне	\вул. Зелений Гай\вул. Лугова\вул. Миру
Лиманський	с. Олександрівка	\вул. Підлісна\вул. Садова\вул. Шевченка\вул. Шкільна
Лиманський	с. Рубці	\вул. 8-го Березня\вул. Будівельніків\вул. Горького\вул. Залізничників\вул. Лісна\вул. Нова\вул. Оскольська\вул. Паркова\вул. Підлісна\вул. Садова\вул. Центральна\вул. Шевченка
Лиманський	с. Середнє	\вул. Квіткова\вул. Кринична\вул. Озерна\вул. Садова\пров. Дзержинського
Лиманський	с. Терни	\вул. Антоненко\вул. Бордюгова\вул. Дружби\вул. Землянського\вул. Лугова\вул. Миру\вул. Набережна\вул. Островерхова\вул. Підстепна\вул. Садова\вул. Степна\вул. Центральна
Лиманський	с. Торське	\вул. Водяна\вул. Джерельна\вул. Зелений Клин\вул. Кооперативна\вул. Коротка\вул. Мєлова\вул. Молодіжна\вул. Мостова\вул. Нова\вул. Островського\вул. Південна\вул. Північна\вул. Підгірна\вул. Підлісна\вул. Східна\вул. Трансформаторна\вул. Хвойна\вул. Центральна\вул. Шкільна\пров. Водяний\пров. Західний\пров. Північний\пров. Трансформаторний
Лиманський	с. Шандриголове	\вул. Гутченка\вул. Красна Зоря\вул. Кринична\вул. Лугова\вул. Степна\вул. Шевченка\пров. Гутченка\пров. Криничний\пров. Підлісний\пров. Шевченка
Лиманський	с. Щурове	\вул. Зарічна\вул. Камишова\вул. Лозовая\вул. Маяковського\вул. Набережна\вул. Соборна\вул. Соснова\пров. Донецький
Лиманський	с. Ямполівка	\вул. Дружби\вул. Лермонтова\вул. Центральна
Лиманський	с. Яцьківка	\вул. Миру\вул. Нова\вул. Оскільська\вул. Привокзальна\вул. Свободи\вул. Соснова\пров. Підлісний\пров. Шкільний
Лиманський	смт Дробишеве	\вул. 1 Травня\вул. 8 Березня\вул. Бастицького\вул. Вишнева\вул. Гагаріна\вул. Горького\вул. Державна\вул. Зарічна\вул. Квіткова\вул. Кооперативна\вул. Лісна\вул. Магістральна\вул. Матросова\вул. Миру\вул. Молодіжна\вул. Морозова\вул. Озерна\вул. Олімпійська\вул. Перемоги\вул. Підлісна\вул. Полухіна\вул. Пушкіна\вул. Садова\вул. Сибірська\вул. Слобожанська\вул. Соборна\вул. Сомова\вул. Сонячна\вул. Степова\вул. Східна\вул. Театральна\вул. Українська\вул. Університетська\вул. Форпосна\вул. Центральна\вул. Чкалова\вул. Шевченка\вул. Ювілейна\пров. Горького\пров. Державний\пров. Кооперативний\пров. Молодіжний\пров. Пушкіна\пров. Слобожанський\пров. Степовий
Лиманський	смт Зарічне	\вул. 1-го Травня\вул. 8-го Березня\вул. Бульварна\вул. Василькова\вул. Весняна\вул. Виноградна\вул. Вишнева\вул. Гагаріна\вул. Гоголя\вул. Горького\вул. Довга\вул. Дружби\вул. Залевадна\вул. Калинова\вул. Квіткова\вул. Клеверна\вул. Красна\вул. Лісна\вул. Лугова\вул. Маяковського\вул. Мира\вул. Новосадова\вул. Озерна\вул. Партизанська\вул. Перемоги\вул. Підлісна\вул. Підлужна\вул. Підстепна\вул. Піщана\вул. Поштова\вул. Пушкіна\вул. Слов'янська\вул. Спартака\вул. Українська\вул. Центральна\вул. Челюскінців\вул. Чехова\вул. Шаблін Яр\вул. Шевченка\вул. Широка\вул. Ярівська\пров. Довгий\пров. Клеверний
Лиманський	смт Новоселівка	\вул. Будівельна\вул. Вишнева\вул. Віктора Семенова\вул. Врожайна\вул. Донецьких шахтарів\вул. Заводська\вул. Кооперативна\вул. Курортна\вул. Лесі Українки\вул. Лісна\вул. Лугова\вул. Новосадова\вул. Партизанська\вул. Першотравнева\вул. Підлісна\вул. Почтова\вул. Проїздна\вул. Пушкіна\вул. Соборна\вул. Степна\вул. Тракторна\вул. Українська\вул. Хвойна\вул. Центральна\вул. Червона Рута\вул. Шахтарська\вул. Шевченка\вул. Шкільна\пров. Врожайний\пров. Зоряний\пров. Курортний\пров. Лісний\пров. Луговий\пров. Український\пров. Центральний
Лиманський	смт Ямпіль	\вул. 1-го Травня\вул. Вагіна\вул. Виноградна\вул. Вокзальна\вул. Врожайна\вул. Гагаріна\вул. Донецька\вул. Залізнична\вул. Зарічна\вул. Зелена\вул. Казарма\вул. Калинова\вул. Короткий\вул. Леваневського\вул. Лісна\вул. Лугова\вул. Миру\вул. Мічуріна\вул. Молодіжна\вул. Партизанська\вул. Підлісна\вул. Полунична\вул. Приозерна\вул. Пушкіна\вул. Свободи\вул. Тиха\вул. Чкалова\вул. Шевченка\вул. Щастя\пл. Слави\пров. Донецький\пров. Леваневського\пров. Миру\пров. Мічуріна\пров. Молодіжний\пров. Підлісний\пров. Садовий\пров. Тихий\пров. Шкільний
Лиманський	смт Ярова	\вул. 1-го Травня\вул. Гутянська\вул. Донецька\вул. Зелена\вул. Кооперативна\вул. Кузнечна\вул. Миру\вул. Незалежності\вул. Партизанська\вул. Підлісна\вул. Підлужна\вул. Садова\вул. Слобідська\вул. Соснова\вул. Труша Івана\вул. Ялинкова\пров. Зелений\пров. Петра Дячкіна\пров. Святогірський
Лиманський	с-ще Мирне	\вул. Назва відсутня
Лиманський	с-ще Соснове	\вул. Енергетиків\вул. Привокзальна\вул. Смарагдове місто
Мангушський	с. Агробаза	\вул. Весела\вул. Зелена\вул. Космонавтів\вул. Нова\вул. Новоселів\вул. Першотравнева\вул. Приферина\вул. Сонячна\вул. Щорса
Мангушський	с. Азовське	\вул. Ватутіна\вул. Виноградна\вул. Маріупольська\вул. Мира\вул. Роздольна\вул. Тітова\пров. Садовий
Мангушський	с. Бабах-Тарама	\вул. 60 Років Жовтня\вул. Азовського\вул. Горького\вул. Громова\вул. Каталова\вул. Кульбакова\вул. Леніна\вул. Лозова\вул. Маліновського\вул. Островського\вул. Пушкіна\вул. Садова\вул. Степова\вул. Урзуфська\вул. Чкалова\вул. Шапошникова\вул. Шевченко
Мангушський	с. Бердянське	\вул. Весела\вул. Виноградна\вул. Дружби\вул. Квіткова\вул. Київська\вул. Миру\вул. Молодіжна\вул. Польова\вул. Приклубна\вул. Тополина\вул. Шкільна\вул. Щастя\вул. Ягідна
Мангушський	с. Білосарайська Коса	\вул. Азовська\вул. Безуха\вул. Ентузіастів\вул. Квіткова\вул. Курортна\вул. Миру\вул. Молодіжна\вул. Нова\вул. Перемоги\вул. Привольна\вул. Приморська\вул. Свободи\вул. Шевченка
Мангушський	с. Бурякова Балка	\вул. Виноградна\вул. Гагаріна\вул. Десантна\вул. Зелена\вул. Казанська\вул. Київська\вул. Миру\вул. Мічуріна\вул. Морська\вул. Першотравнева\вул. Польова\вул. Садова\вул. Суворова
Мангушський	с. Глибоке	\вул. Глубока\вул. Тополина
Мангушський	с. Дем'янівка	\вул. Весела\вул. Виноградна\вул. Вишнева\вул. Зарічна\вул. Зелена\вул. Молодіжна\вул. Набережна\вул. Польова\вул. Радіонетр\вул. Садова\вул. Соборна\вул. Степова\вул. Центральна\вул. Шевченка\вул. Шкільна
Мангушський	с. Захарівка	\вул. Гагаріна\вул. Мала Садова\вул. Маріупольська\вул. Матросова\вул. Нижня Берда\вул. Першого Травня\вул. Польова\вул. Привільна\вул. Садова\вул. Солов'їна\вул. Чкалова\вул. Шевченка\пров. Школьний
Мангушський	с. Комишувате	\вул. Братів Дорофеєвих\вул. Гагаріна\вул. Європейська\вул. Комарова\вул. Львівська\вул. Новоселов\вул. Паші Ангеліної\вул. Центральна\вул. Шкільна
Мангушський	с. Мелекіне	\вул. Азовська\вул. Братів Щербань\вул. Виноградна\вул. Гагаріна\вул. Зелена\вул. Квіткова\вул. Курортна\вул. Морська\вул. Набережна\вул. Огородна\вул. Піщана\вул. Приморська\вул. Сонячна\вул. Центральна\пров. Рибацький\пров. Шкільний
Мангушський	с. Огороднє	\вул. Західна\вул. Огородня\вул. Східна\вул. Широка
Мангушський	с. Покровське	\вул. Азовської Флотилії\вул. Білоруська\вул. Виноградна\вул. Восточна\вул. Дружби\вул. Європейська\вул. Зелена\вул. Кожедуба\вул. Комбайнерська\вул. Лебедя\вул. Лікарняна\вул. Лісна\вул. Молодіжна\вул. Назарія Яремчука\вул. Паркова\вул. Перемоги\вул. Південна\вул. Північна\вул. Подгорна\вул. Садова\вул. Спортивна\вул. Транспортна\вул. Українська\вул. Худолія\вул. Цегляна\вул. Центральна\пров. Азовський\пров. Криничний\пров. Транспортний
Мангушський	с. Портівське	\вул. Вишнева\вул. Горіхова\вул. Жовтнева\вул. Миру\вул. Молодіжна\вул. Перемоги\вул. Приазовська\вул. Садова\вул. Сонячна\вул. Степова\вул. Центральна\вул. Червоноармійська\вул. Шкільна\вул. Ювілейна
Мангушський	с. Приазовське	\вул. 40 Років Перемоги\вул. Гагаріна\вул. Зелена\вул. Зоряна\вул. Комарова\вул. Молодіжна\вул. Садова\вул. Степова\вул. Центральна
Мангушський	с. Приміське	\вул. Вишнева\вул. Комарова\вул. Перемоги\вул. Садова\вул. Степова\вул. Шевченка
Мангушський	с. Рибацьке	\вул. Мирна\вул. Рільнича
Мангушський	с. Стародубівка	\вул. Виноградна\вул. Зарічна\вул. Лісна\вул. Лісхоз\вул. Миру\вул. Першотравнева\вул. Сонячна\вул. Степова\пров. Макаренко\пров. Центральний\пров. Ювілейний
Мангушський	с. Українка	\вул. Кірова\вул. Мичурина\вул. Садова\вул. Степова\вул. Центральна\вул. Чапаєва\пров. Сонячний
Мангушський	с. Урзуф	\вул. 1-а Нова\вул. Гагаріна\вул. Горького\вул. Курортна\вул. Лазурна\вул. Маліновського\вул. Набережна\вул. Приморська\вул. Сєдова\вул. Сонячна\вул. Урзуфська\вул. Центральна\вул. Шкільна\вул. Яковлева
Мангушський	с. Червоне	\вул. Флотська
Мангушський	с. Шевченко	\вул. Миру\вул. Пушкіна
Мангушський	с. Широка Балка	\вул. Весняна\вул. Світла\вул. Степова\вул. Шкільна
Мангушський	с. Юр'ївка	\вул. Лугова\вул. Набережна\вул. Степова\пров. Веселий\пров. Морських Десантників\пров. Набережний\пров. Радужний
Мангушський	смт Мангуш	\вул. Азовська\вул. Білосарайська\вул. Виноградна\вул. Гагаріна\вул. Гоголя\вул. Горького\вул. Грецька\вул. Дружби\вул. Зарічна\вул. Корабельна\вул. Котанова\вул. Крилова\вул. Лісна\вул. Маріупольська\вул. Морських Десантників\вул. Мурзи\вул. Набережна\вул. Паризька\вул. Поштова\вул. Прохолодна\вул. Пушкіна\вул. Річна\вул. Садова\вул. Соборна\вул. Сонячна\вул. Спортивна\вул. Степна\вул. Суворова\вул. Тиха\вул. Тітова\вул. Фонтанна\вул. Челюскіна\вул. Чехова\вул. Чкалова\вул. Шкільна\вул. Щаслива\пров. Академіка Возіанова\пров. Вишневий\пров. Гоголя\пров. Грецький\пров. Дружби\пров. Зарічний\пров. Магістральний\пров. Маріупольський\пров. Матросова\пров. Паризький\пров. Прохолодний\пров. Садовий\пров. Суворова\пров. Тітова\пров. Шкільний\пров. Щасливий\просп. Миру
Мангушський	смт Ялта	\вул. 40 Років Перемоги\вул. Азовська\вул. Артезіанська\вул. Бахчиванджи\вул. Благодатна\вул. Богдана Хмельницького\вул. Виноградна\вул. Вишнева\вул. Гагаріна\вул. Грецька\вул. Донбаська\вул. Еллінська\вул. Жуковського\вул. Квіткова\вул. Коцюбинського\вул. Куінджи\вул. Лавицького\вул. Лазурна\вул. Лермонтова\вул. Лісова\вул. Лугова\вул. Магістральна\вул. Матросова\вул. Маяковського\вул. Миколаївська\вул. Миру\вул. Митрополитська\вул. Мічурінська\вул. Молодіжна\вул. Партизанська\вул. Перемоги\вул. Першотравнева\вул. Петренка\вул. Покришкіна\вул. Польова\вул. Приморська\вул. Просторна\вул. Пушкіна\вул. Радужна\вул. Рилеєва\вул. Садова\вул. Сонячна\вул. Суворова\вул. Титова\вул. Ткаченко-Петренко\вул. Тополева\вул. Тополина\вул. Центральна\вул. Чехова\вул. Чкалова\вул. Шевченка\вул. Янтарна\пров. Азовський\пров. Будьонного\пров. Весняний\пров. Грецький\пров. Донбаський\пров. Жовтневий\пров. Коперника\пров. Лазурний\пров. Лермонтова\пров. Першотравневий\пров. Піщаний\пров. Просторний\пров. Пушкіна\пров. Радужний\пров. Рилеєва\пров. Садовий\пров. Сонячний\пров. Степовий\пров. Український\пров. Центральний\пров. Шкільний\хутір Польовий\хутір Шевченка
